para_id,essay_id,para_text,adu_spans,ac_types,ac_rel_pairs,ac_rel_types,dataset_type,para_types
10,208,"<para-body> <ac> I received a bill from an attorneys office regarding a bill I did not think that was mine . </ac> <ac> I sent a certified return receipt request for validation but never received a response . </ac> <ac> So I sent a 2nd certified return receipt - request for validation and again never received a response . </ac> <ac> The attorneys office filed a civil suit and took me to court . </ac> <ac> I explained this to the judge and gave proof . </ac> <ac> The proof I submitted into the court file were copies of request of validation , the USPS certified letter statement ' s and request verification receipt statement ' s . </ac> <ac> This was all ignored by the judge </ac> <ac> because I was pro se and did not know Washington state law . </ac> <ac> I had made the request prior to this case being filed . </ac> <ac> Later it was explained to me by an attorney that the local county civil courts do not enforce federal laws , only state laws and in state court a request for validation is not recognized . </ac> <ac> I also requested proof of licensing which I did not receive </ac> <ac> because the plaintiff was and currently is not a licensed in Washington state as a debt collection agency </ac> <ac> - they are attorneys . </ac> <ac> The plaintiff won their case </ac> <ac> and I owed a debt that was not mine . </ac> <ac> I ask you , where is the fairness in this ? </ac> <ac> What needs to occur is the laws need to be made clear for both the lay person and the judicial system . </ac> </para-body>","[(1, 21), (22, 38), (39, 59), (60, 74), (75, 86), (87, 118), (119, 127), (128, 142), (143, 156), (157, 194), (195, 207), (208, 227), (228, 234), (235, 241), (242, 253), (254, 266), (267, 290)]","['testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'value', 'policy']","[(2, 1), (6, 7), (10, 11), (16, 15)]","['reason', 'reason', 'reason', 'reason']",train,body
11,210,"<para-body> <ac> I ' m aware of that , </ac> <ac> but I don ' t think many appellate courts have considered the issue . </ac> <ac> To confirm that it ' s the law , it should be included in a rule . </ac> </para-body>","[(1, 9), (10, 25), (26, 44)]","['value', 'value', 'policy']","[(2, 1)]",['reason'],train,body
12,212,"<para-body> <ac> I do NOT owe any debt but have a COMMON FIRST and LAST NAME . </ac> <ac> My Constitutional rights are violated every time a lawyer fails to perform due diligence , per rule 137 , BEFORE SIGNING and FILING COURT PAPER against me . </ac> <ac> The clerks are helpless , </ac> <ac> the judges & attorney disciplinary do nothing favoring "" lawyer zealousness . "" </ac> <ac> I then have to spend time & money , going to court to prove I am NOT the person who owes the debt . </ac> <ac> I urge the CFPB to create mechanisms for clerks & citizens that make it 1 ) easier to fix these messes & , 2 ) to bring sanctions against lawyers & judges for MISUSE OF LEGAL PROCEDURE , ABUSE OF PROCESS , WRONGFUL CIVIL PROCEEDINGS , & MALICIOUS PROSECUTION . </ac> </para-body>","[(1, 17), (18, 47), (48, 54), (55, 69), (70, 95), (96, 147)]","['testimony', 'value', 'value', 'value', 'testimony', 'policy']","[(1, 0)]",['reason'],train,body
13,217,"<para-body> <ac> Allow the States and / or local courts administer lawsuits . </ac> <ac> Regardless of any added rules , documents , etc . none will help increase debtors attending hearings . </ac> <ac> Since 1964 I have seen no significant increase of consumers attending hearings . I have , however , seen the major reason being attributed to not understanding due process by consumers . </ac> </para-body>","[(1, 13), (14, 33), (34, 67)]","['policy', 'value', 'testimony']","[(0, 1), (0, 2)]","['reason', 'reason']",train,body
14,218,<para-body> <ac> No federal rules . </ac> <ac> Allow States continued enforcement of their state laws . </ac> </para-body>,"[(1, 6), (7, 17)]","['policy', 'policy']",[],[],train,body
15,219,"<para-body> <ac> Maybe I missed something </ac> <ac> but I never received any notice from my original mortgage lender that my mortgage was sold . </ac> <ac> Maybe that is better </ac> <ac> since the new "" owner "" may be a pool of investors . </ac> <ac> my experience was the buyer sent the notice listing the original creditor name . </ac> <ac> Requiring the seller and buyer to send a notice would cause consumer confusion . </ac> </para-body>","[(1, 6), (7, 25), (26, 31), (32, 46), (47, 62), (63, 78)]","['value', 'testimony', 'value', 'fact', 'testimony', 'value']","[(2, 3), (5, 4)]","['reason', 'reason']",train,body
16,220,"<para-body> <ac> Assuming debtors have a valid address , which is some cases they do not , </ac> <ac> additional notice that the debt is being assigned to a third party collection entity is no benefit . </ac> <ac> My experience is intervention to collect by a third party normally occurs when the consumer is over 180 contractual delinquent . </ac> <ac> Furthermore , if the consumer receives the warning the account would be placed with a third party </ac> <ac> Many and more confusing to the consumer and agency . </ac> </para-body>","[(1, 17), (18, 37), (38, 60), (61, 79), (80, 91)]","['fact', 'value', 'testimony', 'value', 'value']","[(0, 2)]",['reason'],train,body
17,223,<para-body> <ac> Suspend further action to collect or re - sell . </ac> <ac> Placing a rule that prohibits a collector from reporting information to a CRA during the 30 day window would be a nightmare from elm street and only cause more problems . </ac> <ac> Unresolved disputes should not be sold and should be removed from collection . . Period . </ac> </para-body>,"[(1, 12), (13, 45), (46, 63)]","['policy', 'value', 'policy']","[(0, 1)]",['reason'],train,body
18,224,"<para-body> <ac> No , it is not even clear who a debt collector is , particularly under CA law . </ac> <ac> The person sending the validating notice is typically a debt collector . </ac> <ac> This just causes confusion . </ac> </para-body>","[(1, 20), (21, 34), (35, 41)]","['value', 'fact', 'value']","[(0, 1)]",['reason'],train,body
19,225,"<para-body> <ac> CA has already made great strides as to debt buyers . </ac> <ac> This should be the rule for all collectors : that when they file , they must produce properly authenticated backing for the debt sued upon . </ac> </para-body>","[(1, 13), (14, 41)]","['value', 'policy']",[],[],train,body
20,228,"<para-body> <ac> There should be no option to attempt to verify the debt . </ac> <ac> Attempts should always be required </ac> <ac> and if verification is not made , the debt cannot be further transferred . </ac> </para-body>","[(1, 14), (15, 21), (22, 37)]","['policy', 'policy', 'value']","[(0, 1)]",['reason'],train,body
21,230,<para-body> <ac> FDCPA should define what constitutes reasonable period of time . </ac> <ac> In my experience most attorneys who represent a debtor do not return communication inquiries about representation . In most cases the delay in response may be caused by the debtor paying installment payments to the attorney to file a bankruptcy proceeding . When the debtor does not keep the repayment terms a creditor is presently not notified that the representation has terminated </ac> <ac> and there is no attorney representation . </ac> </para-body>,"[(1, 12), (13, 76), (77, 85)]","['policy', 'value', 'fact']","[(0, 1)]",['reason'],train,body
22,231,"<para-body> <ac> Collectors are responsible for re - establishing contact with delinquent customers and providing services that facilitate repayment of the loans , regardless of the technology utilized . </ac> <ac> In Collections , automated dialing systems effectively increase the ability for the collector to reach delinquent customers unwilling to proactively reach out to the creditors . </ac> <ac> Automated dialing systems are used in many other ways not related to debt collection : telemarketers use them to reach potential customers , schools use them to notify parents of closings due to inclement weather . </ac> <ac> The technology is the same </ac> <ac> but the intent is different based on the user . </ac> <ac> The Telephone Consumer Protection Act ( TCPA ) prohibits creditors from using automated dialing systems to call cell phone numbers without consent from the customer . </ac> <ac> The TCPA "" s original purpose , protecting consumers from costly charges as a result of automated calls , has been subsumed by the new goal of preventing overly numerous call attempts to a number that ( generally ) is directly connected to the customer . </ac> <ac> It does not change the purpose of collection calls , </ac> <ac> it merely makes the process less efficient . </ac> <ac> Regulating which numbers can be called using an automated dialing system is also counter to the growing reality of wireless - only households . </ac> <ac> According to the Center for Disease Control ' s ' Wireless Substitution ' latest report ( Early release data , July - December 2012 ) , over one third ( 36 % ) of adults in the United States live in a household with only wireless telephone service . That figure is even higher ( 45 % ) when you look at children living in the US . </ac> <ac> With an average annualized growth rate of 34 % , it is conceivable that sometime before 2020 only a minority of the country ' s adults will be living in households with a landline telephone that can be autodialed . </ac> <ac> The CFPB should allow for the autodialing of all telephone numbers provided by the customer without byzantine consent requirements . </ac> <ac> Regardless of whether it is at application or during the course of normal business , once the number is provided by the customer to the creditor , that number should be considered another viable option for collection . </ac> </para-body>","[(1, 29), (30, 57), (58, 95), (96, 102), (103, 114), (115, 142), (143, 190), (191, 202), (203, 212), (213, 238), (239, 308), (309, 350), (351, 372), (373, 412)]","['value', 'value', 'fact', 'value', 'value', 'fact', 'value', 'value', 'value', 'value', 'fact', 'value', 'policy', 'policy']","[(6, 7), (9, 10), (9, 11)]","['reason', 'reason', 'reason']",train,body
23,234,<para-body> <ac> They can ' t be sued on in court </ac> <ac> and communications should reflect that . </ac> <ac> I have found that persons who buy old debts are not competent and rely on software and letter services to fulfill their collection obligations . </ac> <ac> Perhaps it is time to return to licensing of collectors . </ac> </para-body>,"[(1, 11), (12, 19), (20, 46), (47, 59)]","['fact', 'policy', 'testimony', 'value']","[(3, 2)]",['reason'],train,body
24,239,"<para-body> <ac> First , I have learned there is a significant legal difference between 1 ) identify theft , 2 ) mistaken identity ( see contract law </ac> <ac> Furthermore , that these three words need to be separated , clarified and their legal handling completely examined . </ac> <ac> There is almost zero legal remedy for wrong person found . </ac> <ac> More information would NOT have helped . </ac> <ac> The lawyer had plenty information </ac> <ac> but he did not validate any of it after he found my address . </ac> <ac> The clerk told me these lawyers and their agents are "" just going through the phone book / internet "" hauling people with the same first and last name into court thinking they will eventually find the debtor . </ac> <ac> A complete waste of court resources , an enormous expense to the innocent citizen , and the unlawful detainment and threatening of an innocent citizen and their assets . </ac> <ac> The debtor , it has since been discovered has left the county . </ac> <ac> The lawyer could have easily validated his information using online public property records from both the Clerk of courts and the County Clerk and found out the middle initial was not a match along with over 7 other pieces of identifying information that were not a match . </ac> <ac> The lawyer did not even do the simplest checking . </ac> <ac> I filed with the IARDC </ac> <ac> and nothing happened . </ac> </para-body>","[(1, 27), (28, 48), (49, 61), (62, 70), (71, 77), (78, 93), (94, 134), (135, 165), (166, 180), (181, 230), (231, 242), (243, 249), (250, 255)]","['testimony', 'policy', 'fact', 'value', 'testimony', 'testimony', 'testimony', 'value', 'testimony', 'value', 'testimony', 'testimony', 'testimony']","[(3, 2)]",['reason'],train,body
25,302,"<para-body> <ac> I would suggest a review of the language already published in the Federal Rules of Bankruptcy BR 3001 ( effective date 12 / 1 / 2012 ) relating to documentation . </ac> <ac> Based upon my participation with the Rule and numerous comments / hearings , I believe some time can be eliminated without re - inventing a different set of standards . </ac> <ac> Bankruptcy involves collection and involves consumers including attorneys on both sides as well . </ac> <ac> I recommend another examination of the "" validation "" notice language and the litany of interpretations of the language . </ac> </para-body>","[(1, 33), (34, 65), (66, 81), (82, 103)]","['policy', 'value', 'fact', 'policy']","[(0, 1)]",['reason'],train,body
26,305,"<para-body> <ac> I would suggest a visit to the Federal Bankruptcy Rule 3001 ( effective 12 / 1 / 2012 ) and comments made during the proposed period , plus the hearing presentation statements published and are available . </ac> <ac> The Rule already addresses documentation issues . </ac> <ac> I again see that attaching all of the proposed documentation to the validation notice is not productive for the consumer or the sender . </ac> <ac> I do believe additional documentation as to chain of title be available if a consumer is being sued in Court . </ac> </para-body>","[(1, 39), (40, 48), (49, 74), (75, 97)]","['policy', 'fact', 'value', 'value']","[(0, 1)]",['reason'],train,body
27,306,"<para-body> <ac> As a creditor collecting my own debt , I assert that by the time I move to litgation , I ' ve exhausted all other forms of collection . </ac> <ac> I ' ve talked to , emailed , and snail mailed the debtor . </ac> <ac> I ' ve tried to negotiate a payment plan or settlement offer all to no avail . </ac> <ac> Litigation is our last attempt . </ac> <ac> Once we are litigation , we present our best case and let the debtor present their defense . </ac> <ac> My experience is that debtors don ' t participate in their defense out of either fear or lack of knowledge about the legal process . </ac> <ac> But the burden of educating the debtor shouldn ' t be put on the creditor ' s shoulders . </ac> <ac> If debtor ' s prefer to ignore the issue , then a default judgment is justified . </ac> <ac> There should be consequences to the inaction of the debtor . </ac> </para-body>","[(1, 31), (32, 47), (48, 66), (67, 74), (75, 94), (95, 121), (122, 142), (143, 161), (162, 174)]","['testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'testimony', 'policy', 'value', 'policy']","[(3, 0), (7, 8)]","['reason', 'reason']",train,body
28,308,"<para-body> <ac> Debt collectors continuously resell the debt to other debt collectors who start the clock all over again . </ac> <ac> Then that debt collector resells the debt </ac> <ac> and the 3rd debt collector restarts the clock again , and so on . </ac> <ac> The burden of proof is put on the consumer to prove it is an old debt . </ac> <ac> The credit reporting agencies don ' t automatically remove old debts </ac> <ac> nor do they check to see if a newly reported debt is in fact a 9 year old debt that has been resold numerous times . </ac> <ac> The credit agencies ( CRA ) are more of a problem for consumers than the debt collectors . </ac> <ac> The CRAs are paid by the credit card companies and the credit card companies have bigger profits when they can charge higher rates based on poor credit scores . </ac> <ac> So there is inherently a huge conflict of interest here . </ac> <ac> If the CRAs can keep our credit scores down the card companies can make more money and don ' t mind paying the CRAs a piece of the action . </ac> <ac> Seems like unspoken collusion to me . </ac> </para-body>","[(1, 20), (21, 29), (30, 45), (46, 64), (65, 77), (78, 105), (106, 125), (126, 156), (157, 169), (170, 201), (202, 210)]","['fact', 'fact', 'fact', 'value', 'fact', 'fact', 'value', 'fact', 'value', 'value', 'value']","[(3, 4), (3, 5), (6, 3), (8, 7), (6, 5), (6, 4)]","['reason', 'reason', 'reason', 'reason', 'reason', 'reason']",train,body
29,309,"<para-body> <ac> I do not believe that it is "" just "" to allow a third party to buy a past due debt and sue for the entire balance , plus attorney fees , court costs , and other fees associated with "" mediators or arbitrators "" . </ac> <ac> I believe that a third party debt buyer should be limited as to how much they can sue for above their initial investment . </ac> <ac> Too many times the original creditor is a publically traded company </ac> <ac> and the loss has already been taken by the share holders . </ac> <ac> Then some debt buyer buys a portfolio of un - performing debt and pays a dime on a dollar for it . </ac> <ac> Sends all of it to a "" law office "" to collect 100 % or more of the original alleged obligation . </ac> <ac> The debt buyer should not be able to sue for 900 % of their investment . </ac> <ac> They should be limited to a percentage of true damage . </ac> <ac> I know of no other civil process where this would be considered ethical . </ac> </para-body>","[(1, 48), (49, 74), (75, 87), (88, 101), (102, 125), (126, 149), (150, 167), (168, 180), (181, 196)]","['value', 'policy', 'fact', 'fact', 'fact', 'fact', 'policy', 'policy', 'value']","[(1, 0), (6, 8), (7, 8)]","['reason', 'reason', 'reason']",train,body
30,312,"<para-body> <ac> In most states all that a debt collection law office needs to provide is a complaint . </ac> <ac> The average consumer has no idea what the difference is between a balance and a sum . </ac> <ac> they do not know how to calculate the interest and certainly do not know what is "" legal "" pursuant to state or Federal Credit Card Act limitations . </ac> <ac> The name of the Plaintiff may not even be recognizable to them . </ac> <ac> They just know that they owed some money and fell behind on bills . </ac> <ac> More times than not , they do not respond at all . </ac> </para-body>","[(1, 19), (20, 38), (39, 69), (70, 84), (85, 100), (101, 114)]","['fact', 'fact', 'fact', 'value', 'fact', 'value']",[],[],train,body
31,314,"<para-body> <ac> If the consumer claims identity theft then the Debt collectors should be required to prove otherwise . </ac> <ac> The CRAs should be forbidden to report any debt that has been disputed as Identity theft unless they can provide court admissible proof that it is a valid debt . </ac> <ac> The CRAs should be held more accountable and heavily fined for reporting erroneous information . </ac> <ac> Their fines should be paid directly to the consumer for the countless hours they spend trying to fix their credit reports . </ac> <ac> The CRAs should be required to send a letter to the consumer ' s insurance companies , mortgage companies , and anyone else that charged the consumer a higher rate based on their erroneous credit score and find out how much their error costs the consumer . </ac> <ac> The sum of those added costs should be paid by the CRAs directly to the consumer in addition to the fines . </ac> <ac> The burden of proof should fall on the CRAs and the debt collectors , not the consumer . </ac> </para-body>","[(1, 19), (20, 51), (52, 68), (69, 92), (93, 141), (142, 165), (166, 185)]","['policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy']",[],[],train,body
32,315,"<para-body> <ac> I have been contacted about a collection agency that stated that an old prescription charge was unpaid . The total was like $ 1500 . When I asked for proof , I received a piece of paper that had three numbers on it that added up to $ 1500 . Nothing more . Literally . </ac> <ac> When a consumer asks for proof , they should at the very least receive a fully itemized listing of what it is is being collecting upon . ( e . g . a detailed statement of account , or the un - paid invoice ( s ) . </ac> <ac> Additionally , consumers should receive documentation as to why they are legally responsible . ( E . g . an agreement that they signed . </ac> <ac> I realize that for businesses that traffic in unpaid consumer debt this is going to be a huge burden </ac> <ac> as this information has long been lost . </ac> <ac> Too bad . </ac> <ac> At the very least , this should be the standard for any debts incurred after a certain date . </ac> </para-body>","[(1, 57), (58, 107), (108, 134), (135, 155), (156, 165), (166, 170), (171, 191)]","['testimony', 'policy', 'policy', 'value', 'value', 'value', 'policy']","[(1, 0), (3, 4)]","['reason', 'reason']",train,body
33,318,<para-body> <ac> Agree with RBell . </ac> <ac> Delinquent borrowers already almost always know they ' re delinquent </ac> <ac> so further notices are not productive . </ac> <ac> When notices are provided they should include the name of the original account holder and the full account number to establish a connection between any tier debt collector and the original account holder . </ac> </para-body>,"[(1, 6), (7, 18), (19, 27), (28, 63)]","['value', 'value', 'value', 'policy']","[(0, 1), (2, 1)]","['reason', 'reason']",train,body
34,321,"<para-body> <ac> Debt collectors should not be permitted to harass a debtor ' s ex - spouse by repeatedly calling the ex - spouse . </ac> <ac> Debt collectors are known to use the old phone number of the debtor that now belongs to the ex - spouse exclusively . Even though the ex - spouse tells the collector to remove her phone number from the collector ' s records , the collector does not , and then repeatedly calls her trying to get to the debtor . </ac> <ac> Collectors must be required to remove her phone number from their records at her first request and not be permitted to call her again . </ac> <ac> Otherwise , she has no recourse to get the harassment to stop . </ac> </para-body>","[(1, 25), (26, 88), (89, 115), (116, 130)]","['policy', 'fact', 'policy', 'value']","[(0, 1), (2, 0), (2, 3), (2, 1)]","['reason', 'reason', 'reason', 'reason']",train,body
35,324,"<para-body> <ac> Why should , an agency have to mail a letter to the consumer who requested not to be called ? </ac> <ac> They most likely won ' t read it </ac> </para-body>","[(1, 22), (23, 32)]","['value', 'value']","[(0, 1)]",['reason'],train,body
36,325,<para-body> <ac> I don ' t think the consumer should have the options as to when and how they are called . </ac> <ac> Most collection agency ' s today would remove a consumers phone number hen asked . </ac> </para-body>,"[(1, 22), (23, 39)]","['value', 'value']","[(0, 1)]",['reason'],train,body
37,326,"<para-body> <ac> banks can simply add this provision to their Loan Sale Agreements . </ac> <ac> All buyers executing a Loan Sale Agreement containing such a provision would be contractually obligated to refrain from litigating or threatening litigation . </ac> <ac> some current buyer would refuse to purchase with such a provision </ac> <ac> and other current buyers would expect a price discount </ac> <ac> because they woudl not be able to sue . </ac> <ac> In both instances , any inventory not acquired by current buyers would be quicly snapped up by other purchasors who would be willing to comply with these contractual provisions . </ac> <ac> Such a resolution would obviate the necessity of legislation or regulation </ac> <ac> as the matter woudl have been taken care of under the contract between a willing seller and a willing buyer . </ac> <ac> there would be no constitutional question regarding the restricting of law suits </ac> <ac> nor would there be any delay in implementation . </ac> <ac> All that would be required is the cooperation of the selling banks </ac> <ac> which could be induced readily with some Safe - Harbor language for banks that follow this protocol . </ac> </para-body>","[(1, 14), (15, 39), (40, 52), (53, 63), (64, 74), (75, 106), (107, 119), (120, 142), (143, 156), (157, 167), (168, 181), (182, 201)]","['fact', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value', 'value']","[(3, 4), (6, 7)]","['reason', 'reason']",train,body
38,327,<para-body> <ac> I think it should be illegal or miss leading for a agency to change its caller id . </ac> <ac> You could easily look up a relatives number and use that . </ac> <ac> There should be a rule regarding a change in caller id . </ac> </para-body>,"[(1, 20), (21, 34), (35, 48)]","['policy', 'value', 'policy']",[],[],train,body
39,331,<para-body> <ac> I don ' t think it matters whether a collector used a alias or not . </ac> <ac> It ' s just a name . If it is used constantly </ac> </para-body>,"[(1, 18), (19, 32)]","['value', 'value']","[(0, 1)]",['reason'],train,body
40,332,"<para-body> <ac> I don ' t know if technology allows collectors to distinguish land lines from cell phones . </ac> <ac> It is fair for collectors to use info provided on the application for credit . </ac> <ac> Collectors should be allowed to assume that the mailing address of record is an accurate indication of the debtor ' s time zone . </ac> <ac> Creditors periodically request updates of contact info in some cases ; </ac> <ac> this would be a good idea for all to do . </ac> <ac> Mailing address should take priority for determining time zone unless the debtor advises otherwise . </ac> <ac> As mentioned previously , people with cell phones may move from one locale to another without changing their area code . </ac> </para-body>","[(1, 19), (20, 36), (37, 62), (63, 75), (76, 88), (89, 105), (106, 128)]","['fact', 'value', 'policy', 'fact', 'value', 'policy', 'fact']","[(5, 6)]",['reason'],train,body
41,333,"<para-body> <ac> A debt collector did not litigate a credit card debt , but summarily garnished our joint checking account . It was two weeks later that notification was received from the debt collector . This occurred September - October 2012 . </ac> <ac> Debt Collectors must provide advance notice of their intent to garnish a checking account . </ac> <ac> It took several weeks including an Order from the Judge to release the funds , only after the Debt Collector took all of a tax refund . </ac> </para-body>","[(1, 42), (43, 59), (60, 88)]","['testimony', 'policy', 'testimony']","[(1, 0)]",['reason'],train,body
42,334,"<para-body> <ac> In theory this seems like a reasonable policy , </ac> <ac> but how can collectors know where a debtor is if they are calling his or her cell phone ? </ac> <ac> Knowingly calling third parties should be prohibited across the board . </ac> <ac> It is no one else ' s business what goes on between creditors and their debtors . </ac> <ac> Calls to a person ' s boss or family can cause further financial and domestic problems , neither of which will help with getting the debt paid . </ac> </para-body>","[(1, 11), (12, 32), (33, 45), (46, 64), (65, 94)]","['value', 'value', 'policy', 'value', 'value']","[(2, 3), (2, 4), (3, 4)]","['reason', 'reason', 'reason']",train,body
43,335,"<para-body> <ac> As a consumer I should receive a notice or some type of warning that the debt will be turned over to a collector . </ac> <ac> And when there are a change in debt collectors , the consumer should be notified . </ac> </para-body>","[(1, 26), (27, 44)]","['policy', 'policy']",[],[],train,body
44,337,"<para-body> <ac> Debtors should be able to leave a message for a specific debtor , the name of their company and request a call - back at a specified number . </ac> <ac> When a consumer returns this type of call , the collector or debtor should be required to give them the mini - Miranda warning . </ac> <ac> There is no need for collectors to leave messages revealing the nature of their calls . </ac> <ac> The Health Information Privacy and Portability Act prohibits disclosure of protected information to unauthorized parties </ac> <ac> and the same should apply to debt collectors . </ac> </para-body>","[(1, 31), (32, 58), (59, 76), (77, 93), (94, 104)]","['policy', 'policy', 'value', 'fact', 'policy']","[(2, 3)]",['reason'],train,body
45,338,"<para-body> <ac> Calling a debtor at work is counter - intuitive ; </ac> <ac> if collectors are continuously calling someone at work , other employees may report it to the debtor ' s supervisor . </ac> <ac> Most companies have established rules about receiving or making personal calls from company or cell phones during an employee ' s working hours . </ac> <ac> If a collector or creditor calls a debtor on his / her cell phone and is informed that the debtor is at work , the call should be terminated . </ac> <ac> No calls to employers should be allowed </ac> <ac> as this jeopardizes the debtor ' s job . </ac> <ac> How does that help in debt collection ? It doesn ' t . </ac> </para-body>","[(1, 12), (13, 35), (36, 61), (62, 93), (94, 102), (103, 113), (114, 128)]","['value', 'value', 'fact', 'policy', 'policy', 'value', 'value']","[(0, 1), (1, 2), (3, 2), (4, 5), (0, 2)]","['reason', 'reason', 'reason', 'reason', 'reason']",train,body
