essay_id,para_id,para_types,para_text,adu_spans,ac_spans,ai_spans,ac_types,ac_rel_targets,ac_rel_types,ac_rel_pairs
2,10,prompt,<prompt> international tourism is now more common than ever before </prompt>,[],[],[],[],[],[],[]
2,11,intro,"<para-intro> the last decade has seen an increasing number of tourists traveling to visit natural wonder sights , ancient heritages and different cultures around the world . while some people might think that this international tourism has negative effects on the destination countries , i would contend that <ac> it has contributed to the economic development as well as preserved the culture and environment of the tourist destinations </ac> . </para-intro>","[(27, 68)]","[(48, 68)]","[(27, 47)]",['MajorClaim'],[12],[],[]
2,12,body,"<para-body> firstly , <ac> international tourism promotes many aspects of the destination country ’ s economy in order to serve various demands of tourists </ac> . <ac> take cambodia for example , a large number of visitors coming to visit the angkowat ancient temple need services like restaurants , hotels , souvenir shops and other stores </ac> . <ac> these demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard </ac> . therefore <ac> tourism has clearly improved lives in the tourist country </ac> . </para-body>","[(1, 24), (25, 56), (57, 82), (84, 95)]","[(3, 24), (26, 56), (58, 82), (85, 95)]","[(1, 2), (25, 25), (57, 57), (84, 84)]","['Premise', 'Premise', 'Premise', 'Claim']","[3, 3, 3, 12]","['Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2)]"
2,13,body,"<para-body> secondly , <ac> through tourism industry , many cultural values have been preserved and natural environments have been protected </ac> . for instance , <ac> in vietnam , many cultural costumes and natural scenes , namely ‘ trong dong ’ drum performance and ‘ ha long ’ bay , are being encouraged to preserve and funded by the tourism ministry </ac> . <ac> without this support and profit from tourism , many traditional cultures would disappear due to its low income works </ac> . thus , <ac> tourism has survived many non - tangible cultural values and beauty scenes </ac> . </para-body>","[(1, 20), (22, 61), (62, 83), (85, 100)]","[(3, 20), (25, 61), (63, 83), (87, 100)]","[(1, 2), (22, 24), (62, 62), (85, 86)]","['Premise', 'Premise', 'Premise', 'Claim']","[3, 3, 3, 12]","['Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2)]"
2,14,conclusion,"<para-conclusion> to conclude , as far as i am concerned , <ac> international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries </ac> . in addition , the authorities should adequately support these sustainable developments . </para-conclusion>","[(1, 29)]","[(11, 29)]","[(1, 10)]",['MajorClaim'],[12],[],[]
3,15,prompt,<prompt> will newspapers become a thing of the past ? </prompt>,[],[],[],[],[],[],[]
3,16,intro,"<para-intro> the internet has been more and more popular for recent years , providing people with a huge source of information . as a result of this , print media such as newspapers have experienced a dramatic decline in the number of readers . some people , however , still believe that they can exist for long time ; others disagree , arguing that <ac> newspapers have lost their competitive advantage to sustain their prolonged existence </ac> . personally , i am inclined to agree with the latter view for following reasons . </para-intro>","[(44, 76)]","[(64, 76)]","[(44, 63)]",['MajorClaim'],[12],[],[]
3,17,body,"<para-body> first of all , <ac> to obtain information , using the internet is quicker and more convenient than reading newspapers </ac> . <ac> contrary to the past when people had to wait long hours to take a daily newspaper , nowadays , they can acquire latest news updated every second through their mobile phones or computers connected to the internet , everywhere and at anytime </ac> . <ac> as can be seen , these devices and machines are very common in all parts of the world , making it easier for people to read a number of things that newspapers can not provide in only some pages </ac> . hence , <ac> the print media has failed to keep its important role in the provision of information </ac> . </para-body>","[(1, 21), (22, 66), (67, 108), (110, 128)]","[(5, 21), (23, 66), (68, 108), (112, 128)]","[(1, 4), (22, 22), (67, 67), (110, 111)]","['Premise', 'Premise', 'Premise', 'Claim']","[3, 3, 3, 12]","['Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2)]"
3,18,body,"<para-body> another point is that , <ac> from the economic aspect , buying newspapers appears to be a waste of money when the internet becomes available for every one </ac> . it is clear to recognize that <ac> the internet service is being provided at a low cost or even free in many countries </ac> . the question arises as to whether or not a person spends an extra money buying newspapers to receive the same , even usually less information than those he can have with the internet ? <ac> the answer , perhaps , is that hardly would rational people do so </ac> . for this reason , <ac> the number of people reading newspapers may continue falling sharply , possibly leading to the close - downs of many in the coming time </ac> . </para-body>","[(1, 29), (31, 54), (89, 104), (106, 135)]","[(6, 29), (37, 54), (90, 104), (110, 135)]","[(1, 5), (31, 36), (89, 89), (106, 109)]","['Premise', 'Premise', 'Premise', 'Claim']","[3, 3, 3, 12]","['Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2)]"
3,19,body,"<para-body> last , but not least , <ac> when taking environment into consideration , people must conceive that the more newspapers are published , the more trees are cut down </ac> . <ac> this is simply the contributor to the deforestation which is happening all over the world today </ac> . at this point , <ac> newspapers ' production will have to face environmentalists on its way to be alive </ac> . </para-body>","[(1, 30), (31, 49), (51, 70)]","[(7, 30), (32, 49), (55, 70)]","[(1, 6), (31, 31), (51, 54)]","['Premise', 'Premise', 'Claim']","[2, 2, 12]","['Support', 'Support']","[(2, 0), (2, 1)]"
3,20,conclusion,"<para-conclusion> in conclusion , it might be unpleasant for some advocating newspapers to witness the extinction of the type of media . however , this , if occurring , should be seen as a result of the ever - increasing innovations in media technology and in our modern life as a whole . </para-conclusion>",[],[],[],[],[],[],[]
4,21,prompt,"<prompt> government budget focus , young children or university ? </prompt>",[],[],[],[],[],[],[]
4,22,intro,"<para-intro> "" education is the investment in our future "", as senator bernie sanders once pointed out , education , which fosters a civilized society , plays a significant role in a country ' s long - lasting prosperity . it is no wonder that governments throughout the world lay special emphasis on education development . as for the two integral components within the system , elementary and advanced education , there ' s no doubt that <ac> a government is supposed to offer sufficient financial support for both </ac> . </para-intro>","[(56, 89)]","[(77, 89)]","[(56, 76)]",['MajorClaim'],[12],[],[]
4,23,body,"<para-body> concerning that <ac> elementary education , like the base of a architecture , is the fundamental requirement to be a qualified citizen in today ' s society </ac> , <ac> government should guarantee that all people have equal and convenient access to it </ac> . so <ac> a lack of well - established primary education goes hand in hand with a high rate of illiteracy , and this interplay seriously compromises a country ' s future development </ac> . in other words , <ac> if countries , especially the developing countries , are determined to take off , one of the key points governments should set on agenda is to educate more qualified future citizens through elementary education </ac> . </para-body>","[(1, 28), (29, 44), (46, 78), (80, 119)]","[(3, 28), (30, 44), (47, 78), (84, 119)]","[(1, 2), (29, 29), (46, 46), (80, 83)]","['Premise', 'Premise', 'Premise', 'Claim']","[3, 3, 3, 12]","['Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2)]"
4,24,body,"<para-body> that ' s not enough , <ac> for higher education , which represent the cutting edge of a country ' s academic achievements , act as the vanguard in economic and social advance </ac> . <ac> the high technology and new ideas applied into practice may not only lead a country to flourish but also elevate its status in the international community </ac> . <ac> some may argue that universities can support themselve well by donation or invention </ac> , but <ac> this argument is invalid </ac> . <ac> researches into humanities and art still need large amount of money </ac> , what ' s more , <ac> government ' s big budget on universities may attract more excellent intellectuals and researchers into the country and enjoy a higher reputation worldwide </ac> . </para-body>","[(1, 34), (35, 63), (64, 79), (80, 87), (88, 101), (102, 132)]","[(7, 34), (36, 63), (65, 79), (82, 87), (89, 101), (108, 132)]","[(1, 6), (35, 35), (64, 64), (80, 81), (88, 88), (102, 107)]","['Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[5, 5, 5, 2, 5, 12]","['Support', 'Support', 'Attack', 'Attack', 'Support']","[(5, 0), (5, 1), (5, 2), (2, 3), (5, 4)]"
4,25,conclusion,"<para-conclusion> from reasons listed above , we can safely draw the conclusion that , <ac> a government should spare effort on young children education as well as universities </ac> , <ac> both are crucial on the way to a brighter future </ac> . </para-conclusion>","[(1, 28), (29, 41)]","[(14, 28), (30, 41)]","[(1, 13), (29, 29)]","['MajorClaim', 'Claim']","[12, 12]",[],[]
5,26,prompt,<prompt> roommates quality and their importance </prompt>,[],[],[],[],[],[],[]
5,27,intro,"<para-intro> much has been said about the importance about good roommates and how roommates will affect our life in school . research showed that friends that we made in university are more likely to be life time friends and this especially applicable to roommate . in my personal opinion , <ac> the most important quality of roommates is being considered </ac> . in the meantime , <ac> communication is also another essential particularity of a good roommate </ac> . </para-intro>","[(45, 60), (62, 77)]","[(50, 60), (66, 77)]","[(45, 49), (62, 65)]","['MajorClaim', 'MajorClaim']","[12, 12]",[],[]
5,28,body,"<para-body> <ac> consideration is always important in relationship </ac> . for example , <ac> roommate turns down the music or television volume at night time </ac> . <ac> sometimes we will not know what we have done until we have a taste of our own medicine </ac> . <ac> at all times , think about the other ' s feeling before doing any self - centered action would help to improve the roommate relationship tremendously </ac> . therefore , <ac> having a considered roommate is significantly imperative to our school life </ac> . <ac> it will not only prevent conflicts but also to have a friend or even a family member </ac> . </para-body>","[(0, 8), (10, 25), (26, 46), (47, 75), (77, 91), (92, 111)]","[(1, 8), (13, 25), (27, 46), (48, 75), (79, 91), (93, 111)]","[(0, 0), (10, 12), (26, 26), (47, 47), (77, 78), (92, 92)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim', 'Premise']","[4, 0, 4, 4, 12, 4]","['Support', 'Support', 'Support', 'Support', 'Support']","[(4, 0), (0, 1), (4, 2), (4, 3), (4, 5)]"
5,29,body,"<para-body> moreover , <ac> communication is as well making a good roommate </ac> . <ac> people have different habit in daily life , such as tidy the blanket in the morning </ac> . <ac> one might think this is a piece of cake while other would consider it as immense project </ac> . <ac> if one requested to move out just because his roommate do not tidy up the blanket in the morning might be crying over split milk </ac> . therefore , <ac> communication is very important </ac> as <ac> it would clear up the misinterpretation </ac> . <ac> through communication , bonded are build and we could have better understanding of each others </ac> . </para-body>","[(1, 12), (13, 31), (32, 51), (52, 79), (81, 88), (89, 97), (98, 115)]","[(3, 12), (14, 31), (33, 51), (53, 79), (83, 88), (90, 97), (99, 115)]","[(1, 2), (13, 13), (32, 32), (52, 52), (81, 82), (89, 89), (98, 98)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim', 'Premise', 'Premise']","[4, 4, 4, 4, 12, 4, 4]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']","[(4, 0), (4, 1), (4, 2), (4, 3), (4, 5), (4, 6)]"
5,30,conclusion,"<para-conclusion> in conclusion , there are many valuable factors about roommate that are important . <ac> consideration and communication , in my personal opinion , are the most important quality </ac> . however , people might not get what they want all the time . the sky is the limit ; there are all kinds of personality out there . we need to be flexible to be account into society . </para-conclusion>","[(14, 30)]","[(15, 30)]","[(14, 14)]",['MajorClaim'],[12],[],[]
6,31,prompt,<prompt> should governments spend more money on improving roads and highways </prompt>,[],[],[],[],[],[],[]
6,32,intro,"<para-intro> nowadays transportation has attracted much social concern . whether governments should invest more money in traffic infrastructure or focus more on developing public transportation has erupted endless controversy . it does not seem unreasonable to suggest that <ac> governments spend more money on buses , trains , and subways investment </ac> . <ac> such public vehicles are used to serve a large number of people in society </ac> therefore <ac> they help alleviate traffic congestion and decrease the amount of carbon released into the air </ac> . both these two things are important . </para-intro>","[(30, 51), (52, 68), (69, 86)]","[(38, 51), (53, 68), (70, 86)]","[(30, 37), (52, 52), (69, 69)]","['MajorClaim', 'Premise', 'Claim']","[12, 2, 12]",['Support'],"[(2, 1)]"
6,33,body,"<para-body> first and foremost , <ac> carbon emission cut is significantly essential for protecting the atmosphere </ac> . the fact is that <ac> the more cars and motorbikes are on roads , the more seriously the ozone layer is damaged </ac> . <ac> if governments use more money to improve roads , there is a strong likelihood that more people drive their private cars work </ac> . <ac> this is sure to lead to more carbon emitted into the atmosphere , which can cause skin cancer and destroy the natural environment </ac> . whereas , <ac> if there are more good buses , trains , or subways , people are inclined to use less private vehicles , which decreases the amount of carbon released </ac> . obviously , <ac> the policy that concentrates money on developing public transportation brings an advantageous impact on earth </ac> . </para-body>","[(1, 16), (18, 40), (41, 65), (66, 91), (93, 124), (126, 144)]","[(5, 16), (22, 40), (42, 65), (67, 91), (95, 124), (128, 144)]","[(1, 4), (18, 21), (41, 41), (66, 66), (93, 94), (126, 127)]","['Premise', 'Premise', 'Premise', 'Claim', 'Premise', 'Claim']","[3, 3, 3, 12, 5, 12]","['Support', 'Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2), (5, 4)]"
6,34,body,"<para-body> in addition , <ac> the policy would play a pivotal part in relieving traffic jam </ac> . <ac> it is quiet clear that traffic congestion is a serious problem in many big cities </ac> . the main reason for this issue is that <ac> there are a great number of vehicles flowing on roads </ac> . in order to tackle the problem , <ac> governments have to turn people ' attention on public vehicles to reduce cars and motorbikes </ac> . <ac> there is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion </ac> . </para-body>","[(1, 16), (17, 34), (36, 55), (57, 80), (81, 103)]","[(4, 16), (18, 34), (44, 55), (64, 80), (82, 103)]","[(1, 3), (17, 17), (36, 43), (57, 63), (81, 81)]","['Premise', 'Premise', 'Premise', 'Claim', 'Premise']","[3, 3, 3, 12, 3]","['Support', 'Support', 'Support', 'Support']","[(3, 0), (3, 1), (3, 2), (3, 4)]"
6,35,conclusion,"<para-conclusion> in conclusion , i would concede that <ac> high - quality roads and highways make it easier to move around </ac> . nevertheless , <ac> public transportation systems even have more important advantages </ac> . <ac> they not only ease traffic jam but also protect the atmosphere </ac> . that is why many governments around the world invest more money on developing public transportation facilities . </para-conclusion>","[(1, 21), (23, 34), (35, 48)]","[(8, 21), (25, 34), (36, 48)]","[(1, 7), (23, 24), (35, 35)]","['Claim', 'MajorClaim', 'Claim']","[12, 12, 12]",[],[]
7,36,prompt,<prompt> physical exercise </prompt>,[],[],[],[],[],[],[]
7,37,intro,"<para-intro> although some people think that the major part of school schedule should be entirely devoted to academics , i truly believe that <ac> the physical education part should not be outweighed </ac> . <ac> physical exercises help to create healthy nation , assist to learning through direct observation and finally aid to financial development of a country </ac> . </para-intro>","[(1, 32), (33, 58)]","[(23, 32), (34, 58)]","[(1, 22), (33, 33)]","['MajorClaim', 'Claim']","[12, 12]",[],[]
7,38,body,"<para-body> first of all , the ancient latin proverb says : "" anima sana in corpore sano "", which means that <ac> healthy body is basis for healthy soul </ac> . <ac> there is a direct linkage between people ' s health and the frequency of doing physical exercises </ac> . <ac> the more we practice , the better we feel </ac> . additionally , <ac> there is a fact that one can improve health conditions with everyday physical activity : gradually , step by step we change physical condition to better </ac> . so , <ac> if the entire nation , from their school ages begin going for sports and try doing that everyday , eventually it may help to build healthy nation </ac> . </para-body>","[(1, 29), (30, 49), (50, 61), (63, 92), (94, 124)]","[(21, 29), (31, 49), (51, 61), (65, 92), (96, 124)]","[(1, 20), (30, 30), (50, 50), (63, 64), (94, 95)]","['Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[4, 4, 4, 4, 12]","['Support', 'Support', 'Support', 'Support']","[(4, 0), (4, 1), (4, 2), (4, 3)]"
7,39,body,"<para-body> besides , <ac> when we practice outdoors and indoors sports , many aspects are getting clearer </ac> . for example , <ac> when a person goes jogging everyday , eventually he can understand his own body through direct observation </ac> . alike , <ac> the school basketball team gains more knowledge on how to succeed in some particular kind of throwing the ball into hoot practicing rather than learning theoretically </ac> . furthermore , <ac> almost all natural science discoveries were made by direct observation , which is a part of physical education </ac> . </para-body>","[(1, 17), (19, 40), (42, 71), (73, 94)]","[(3, 17), (22, 40), (44, 71), (75, 94)]","[(1, 2), (19, 21), (42, 43), (73, 74)]","['Claim', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 0]","['Support', 'Support', 'Support']","[(0, 1), (0, 2), (0, 3)]"
7,40,body,"<para-body> last , but not least , <ac> financial sustainability of a region mostly depends on how healthy the population is </ac> . for instance , <ac> the money invested into physical education program can save allocations into healthcare </ac> , since <ac> the nation is comparatively healthy </ac> . along with that , <ac> physically healthy people can contribute more both into economical and social development </ac> . as a matter of fact , <ac> the better a person feels , the better his brain works </ac> . therefore , <ac> putting physical activities in early steps of human development would finally lead to mentally healthy society </ac> . as hence <ac> it ends up with financially competitive country </ac> . </para-body>","[(1, 21), (23, 39), (40, 48), (50, 67), (69, 87), (89, 108), (110, 120)]","[(7, 21), (26, 39), (42, 48), (54, 67), (75, 87), (91, 108), (112, 120)]","[(1, 6), (23, 25), (40, 41), (50, 53), (69, 74), (89, 90), (110, 111)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim', 'Premise']","[12, 0, 1, 5, 5, 12, 5]","['Support', 'Support', 'Support', 'Support', 'Support']","[(0, 1), (1, 2), (5, 3), (5, 4), (5, 6)]"
7,41,conclusion,"<para-conclusion> in the conclusion , i would like to say that <ac> the more attention is withdrawn to a problem of physical education , the more influence we can get on academic success of students </ac> . </para-conclusion>","[(1, 35)]","[(11, 35)]","[(1, 10)]",['MajorClaim'],[12],[],[]
8,42,prompt,<prompt> technology inspires children ' s creativity instead of weakening it </prompt>,[],[],[],[],[],[],[]
8,43,intro,"<para-intro> technology accelerates human ' s evolving pace . with advanced technology , many things that seemed impossible in the past , have become realities . for example , people in the past never dreamed of talking to anyone whenever they wanted or see someone overseas on a computer screen , both of these can be achieved with cellphone and internet . however , some people point that technology has made children less creative . i don ' t deny that <ac> technology may have some negative effects on children </ac> , but i think <ac> technology makes children even more creative </ac> . </para-intro>","[(75, 90), (91, 102)]","[(81, 90), (95, 102)]","[(75, 80), (91, 94)]","['Claim', 'MajorClaim']","[12, 12]",[],[]
8,44,body,"<para-body> first , <ac> technology inspires children to create new things </ac> . <ac> children are curious about everything around them </ac> , so <ac> when they come across a high - tech product like a cellphone , they will be obsessed with its mysterious functions and eager to know how it works </ac> . for example , <ac> bill gates was attracted by the original huge computer , then he did everything he could to understand how it worked </ac> . <ac> after he had figured out all the stuff , he then began to promote the computer </ac> . <ac> in the end , he successfully invented a computer that was easy to use and lightweight </ac> . therefore , <ac> instead of interfering children ' s creativity , technology actually encourages children to learn and to create </ac> . </para-body>","[(1, 11), (12, 21), (22, 53), (55, 80), (81, 99), (100, 118), (120, 140)]","[(3, 11), (13, 21), (24, 53), (58, 80), (82, 99), (101, 118), (122, 140)]","[(1, 2), (12, 12), (22, 23), (55, 57), (81, 81), (100, 100), (120, 121)]","['Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[6, 2, 6, 6, 6, 6, 12]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']","[(6, 0), (2, 1), (6, 2), (6, 3), (6, 4), (6, 5)]"
8,45,body,"<para-body> second , <ac> technology widen children ' s knowledge </ac> . <ac> in the past , children were only able to see things from one perspective </ac> . however , <ac> with highly advanced technology , children are able to get information from foreign countries and even communicate with foreign friends </ac> . therefore , <ac> they will be able to learn about different cultures and different ways of thinking </ac> . <ac> knowledge is the base of creativity </ac> . <ac> the diverse knowledge that children gained from different parts of the world , inspires children and encourage them to create new things </ac> . </para-body>","[(1, 10), (11, 27), (29, 52), (54, 71), (72, 80), (81, 105)]","[(3, 10), (12, 27), (31, 52), (56, 71), (73, 80), (82, 105)]","[(1, 2), (11, 11), (29, 30), (54, 55), (72, 72), (81, 81)]","['Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Claim']","[5, 5, 3, 5, 5, 12]","['Support', 'Support', 'Support', 'Support', 'Support']","[(5, 0), (5, 1), (3, 2), (5, 3), (5, 4)]"
8,46,conclusion,"<para-conclusion> admittedly , <ac> technology may have negative effects on children </ac> . <ac> technology has made life too easy for most children </ac> . <ac> in comfortable conditions , children may be satisfied with the world around them and refuse to make a change </ac> . nonetheless , <ac> with the development of technology , increasingly more young people become obsessed with high - tech products </ac> . <ac> they kept researching new technology and became successful at a very young age </ac> . </para-conclusion>","[(1, 11), (12, 23), (24, 45), (47, 67), (68, 83)]","[(3, 11), (13, 23), (25, 45), (49, 67), (69, 83)]","[(1, 2), (12, 12), (24, 24), (47, 48), (68, 68)]","['Claim', 'Premise', 'Premise', 'Premise', 'MajorClaim']","[12, 0, 0, 0, 12]","['Support', 'Support', 'Attack']","[(0, 1), (0, 2), (0, 3)]"
9,47,prompt,<prompt> lessons with teachers versus others sources </prompt>,[],[],[],[],[],[],[]
9,48,intro,"<para-intro> over the last half century the change in the life of human beings has increased beyond our wildest expectations . there are countless new technological equipments flooding into our lives , such as the internet , television and cell phone . they all enrich our daily lives . now , many students learn from internet after class and they find it quite helpful . </para-intro>",[],[],[],[],[],[],[]
9,49,body,"<para-body> many people find that <ac> students at schools and universities still learn much more from lessons with teachers </ac> . they argue that <ac> teachers teach students how to write , read and calculate since they are in kindergarten </ac> . <ac> and when they are in primary school , teachers teach them more further knowledge , like writing skills and using computers </ac> . <ac> it is teachers that help them with obstacles in schooling </ac> . on the other hand , <ac> students gain most of the knowledge through teachers and learn what is right and wrong with the assistance of teachers </ac> . </para-body>","[(1, 19), (21, 40), (41, 64), (65, 77), (79, 105)]","[(5, 19), (24, 40), (42, 64), (66, 77), (84, 105)]","[(1, 4), (21, 23), (41, 41), (65, 65), (79, 83)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 0, 0]","['Support', 'Support', 'Support', 'Support']","[(0, 1), (0, 2), (0, 3), (0, 4)]"
9,50,body,"<para-body> those who feel that <ac> students learn far more from other sources , such as the internet and television </ac> , firmly believe that <ac> within this sources students learn lots of things which they can ' t learn in classes </ac> . <ac> they can only input some key words and google it , and then there are numberless articles and websites related to it </ac> . in this case , <ac> students learn things easily </ac> . moreover , <ac> they contend that good television programs do teach students </ac> . for instance , <ac> discovery channel has many instructive episodes </ac> . <ac> students have knowledge of others cultures , outer space etc </ac> . </para-body>","[(1, 20), (21, 42), (43, 67), (69, 78), (80, 92), (94, 104), (105, 117)]","[(5, 20), (25, 42), (44, 67), (73, 78), (82, 92), (97, 104), (106, 117)]","[(1, 4), (21, 24), (43, 43), (69, 72), (80, 81), (94, 96), (105, 105)]","['Claim', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise', 'Premise']","[12, 0, 0, 2, 0, 4, 4]","['Support', 'Support', 'Support', 'Support', 'Support', 'Support']","[(0, 1), (0, 2), (2, 3), (0, 4), (4, 5), (4, 6)]"
9,51,conclusion,"<para-conclusion> personally , i think that <ac> students learn far more from their teachers than from other source </ac> . because not only do <ac> teachers teach us knowledge but also the skills to tell right from wrong </ac> . just imagine : if a student can ' t even make out whether the source is reasonable or not , then how can he get the right information to help him to learn ? </para-conclusion>","[(1, 18), (20, 38)]","[(6, 18), (24, 38)]","[(1, 5), (20, 23)]","['MajorClaim', 'Claim']","[12, 12]",[],[]
10,52,prompt,<prompt> email and text messaging threats written language </prompt>,[],[],[],[],[],[],[]
10,53,intro,"<para-intro> the introduction of email and text messaging has brought about considerable changes in communication . with this situation , some people believe that <ac> they may be factors decreasing the position of written language </ac> . i am in favor of that idea because of their advantages and the fact we can see today about the use of these new means . </para-intro>","[(16, 35)]","[(24, 35)]","[(16, 23)]",['MajorClaim'],[12],[],[]
